rehearse	リハーサルをする、暗唱（復唱）する
pavement	舗装道路<div>cobblestone streetで石で舗装された道</div>
plutonium	プルトニウム
tilt	"傾かせる、傾く、傾き<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">tilt&nbsp;a&nbsp;<a href=""https://ejje.weblio.jp/content/chair"">chair</a>&nbsp;[<a href=""https://ejje.weblio.jp/content/table"">table</a>]</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">いす[<a href=""https://ejje.weblio.jp/content/%E3%83%86%E3%83%BC%E3%83%96%E3%83%AB"">テーブル</a>]を<a href=""https://ejje.weblio.jp/content/%E5%82%BE%E3%81%91%E3%82%8B"">傾ける</a>.</span><br></div>"
catalyst	触媒<div>catalysisで触媒作用</div>
advent	"（重要な人物や出来事の）出現、到来<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">the&nbsp;advent&nbsp;<a href=""https://ejje.weblio.jp/content/of+a"">of a</a>&nbsp;<a href=""https://ejje.weblio.jp/content/new+age"">new age</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E6%96%B0%E6%99%82%E4%BB%A3"">新時代</a>の<a href=""https://ejje.weblio.jp/content/%E5%88%B0%E6%9D%A5"">到来</a>.</span><br></div>"
brisk	"きびきびした、活気のある（反対語はdull）、すがすがしい<div><div><div><span style=""font-weight: bold;"">a&nbsp;brisk&nbsp;<a href=""https://ejje.weblio.jp/content/walker"">walker</a></span>&nbsp;<a href=""https://ejje.weblio.jp/content/%E5%85%83%E6%B0%97%E3%82%88%E3%81%8F"">元気よく</a><a href=""https://ejje.weblio.jp/content/%E6%AD%A9%E3%81%8F%E4%BA%BA"">歩く人</a>.</div></div><div><div><span style=""font-weight: bold;""><a href=""https://ejje.weblio.jp/content/at+a"">at a</a>&nbsp;brisk&nbsp;<a href=""https://ejje.weblio.jp/content/pace"">pace</a></span>&nbsp;<a href=""https://ejje.weblio.jp/content/%E3%81%8D%E3%81%B3%E3%81%8D%E3%81%B3%E3%81%97%E3%81%9F"">きびきびした</a><a href=""https://ejje.weblio.jp/content/%E8%B6%B3%E3%81%A9%E3%82%8A"">足どり</a>で.</div></div></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">brisk&nbsp;<a href=""https://ejje.weblio.jp/content/weather"">weather</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E3%81%99%E3%81%8C%E3%81%99%E3%81%8C%E3%81%97%E3%81%84%E6%97%A5%E5%92%8C"">すがすがしい日和</a>.</span><br></div>"
natural selection	自然淘汰
fungus	（キノコなどの）菌類<div>複数形がfungi, funguses</div>
oak	オーク（カシの木など）
certify	証明する、保証する<div>The doctor certified that the medicine was safe</div>
incidentally	"偶然に<div><img src=""paste-6b582abc118f448f0d3f078da485f97c7d15e970.jpg""><br></div>"
obedient	従順な<div>obedienceで服従、従順</div><div>obeyで従う</div>
sting	刺す、刺すこと<div>sting - stung - stung</div>
wasp	スズメバチ、怒りっぽい人
temple	寺院、こめかみ、眼鏡のつる
absorb	吸収する、absorb oneself in ~ で〜に没頭する<div>absorptionで吸収</div>
reasoning	推論、理論、論拠
attributable	"（病気などが）〜のせいで、〜に起因する<div>attributeで（功績・結果などを）〜のせいと考える、〜に帰する</div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">She&nbsp;<a href=""https://ejje.weblio.jp/content/attributed"">attributed</a>&nbsp;her&nbsp;<a href=""https://ejje.weblio.jp/content/success"">success</a>&nbsp;<a href=""https://ejje.weblio.jp/content/to"">to</a>&nbsp;<a href=""https://ejje.weblio.jp/content/good+luck."">good luck.</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%BD%BC%E5%A5%B3%E3%81%AF"">彼女は</a><a href=""https://ejje.weblio.jp/content/%E8%87%AA%E5%88%86%E3%81%AE"">自分の</a><a href=""https://ejje.weblio.jp/content/%E6%88%90%E5%8A%9F"">成功</a>を<a href=""https://ejje.weblio.jp/content/%E5%B9%B8%E9%81%8B%E3%81%AE"">幸運の</a>せ<a href=""https://ejje.weblio.jp/content/%E3%81%84%E3%81%AB%E3%81%97"">いにし</a>た.</span><br><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">His&nbsp;<a href=""https://ejje.weblio.jp/content/illness"">illness</a>&nbsp;<a href=""https://ejje.weblio.jp/content/is"">is</a>&nbsp;attributable&nbsp;<a href=""https://ejje.weblio.jp/content/to"">to</a>&nbsp;overwork.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%BD%BC%E3%81%AE"">彼の</a><a href=""https://ejje.weblio.jp/content/%E7%97%85%E6%B0%97"">病気</a>は<a href=""https://ejje.weblio.jp/content/%E9%81%8E%E5%8A%B4"">過労</a><a href=""https://ejje.weblio.jp/content/%E3%81%8B%E3%82%89%E3%81%8D"">からき</a><a href=""https://ejje.weblio.jp/content/%E3%81%A6%E3%81%84%E3%82%8B"">ている</a>.</span><br></div><div><span style=""color: rgb(86, 76, 70); font-weight: 700;"">His&nbsp;</span><a href=""https://ejje.weblio.jp/content/success"">success</a><span style=""color: rgb(86, 76, 70); font-weight: 700;"">&nbsp;</span><a href=""https://ejje.weblio.jp/content/is"">is</a><span style=""color: rgb(86, 76, 70); font-weight: 700;"">&nbsp;</span><b>attributable</b><span style=""color: rgb(86, 76, 70); font-weight: 700;"">&nbsp;</span><a href=""https://ejje.weblio.jp/content/to"">to</a><span style=""color: rgb(86, 76, 70); font-weight: 700;"">&nbsp;diligence.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div></div>"
destroy	破壊する
immature	未熟な
gear	装備、（特定用途の）用具、gearsで歯車<div>rain gearで雨具</div>
twig	小枝<div>大枝はbough</div>
tract	"土地、地域、（海や空などの）広がり、（宗教上や政治上の）パンフレット<div><img src=""paste-61749b6f96f9495a1ca81b207ecd8fbdca1c9e98.jpg""><br></div>"
parody	パロディー、猿まね、もじる、滑稽にまねる
colony	植民地、居留地<div>colonositで入植者</div>
dreadful	恐ろしい<div>dreadで〜を恐れる、dread to ~で〜することを恐れる、dreadで（名）恐怖、不安</div>
honeycomb	蜂の巣状のもの、ミツバチの巣<div>honeycomb structureでハニカム構造（蜂の巣状の形状を持つもの）</div>
cluster	"（名）集団、群れ (a cluster of spectators)、房 (a cluster of grapes)<div>（動）密集する、群がらせる（基本受け身）</div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/We"">We</a>&nbsp;<a href=""https://ejje.weblio.jp/content/clustered"">clustered</a>&nbsp;around him.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E7%A7%81%E3%81%9F%E3%81%A1%E3%81%AF"">私たちは</a><a href=""https://ejje.weblio.jp/content/%E5%BD%BC%E3%81%AE"">彼の</a><a href=""https://ejje.weblio.jp/content/%E5%91%A8%E3%82%8A%E3%81%AB"">周りに</a><a href=""https://ejje.weblio.jp/content/%E7%BE%A4"">群</a><a href=""https://ejje.weblio.jp/content/%E3%81%8C%E3%81%A3%E3%81%9F"">がった</a>.</span><br></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/Several"">Several</a>&nbsp;<a href=""https://ejje.weblio.jp/content/outbuildings"">outbuildings</a>&nbsp;were&nbsp;<a href=""https://ejje.weblio.jp/content/clustered"">clustered</a>&nbsp;around the farmhouse.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E8%BE%B2%E5%AE%B6"">農家</a>の<a href=""https://ejje.weblio.jp/content/%E5%91%A8%E3%82%8A%E3%81%AB"">周りに</a><a href=""https://ejje.weblio.jp/content/%E3%81%AF%E3%81%84%E3%81%8F%E3%81%A4"">はいくつ</a>かの<a href=""https://ejje.weblio.jp/content/%E4%BB%98%E5%B1%9E%E3%81%AE"">付属の</a><a href=""https://ejje.weblio.jp/content/%E5%BB%BA%E7%89%A9"">建物</a>がかたまって(<a href=""https://ejje.weblio.jp/content/%E5%BB%BA"">建</a>って)いた.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div>"
excavate	"発掘する、穴を掘る<div>excavationで発掘、洞穴</div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">excavate&nbsp;<a href=""https://ejje.weblio.jp/content/a+stone"">a stone</a>‐<a href=""https://ejje.weblio.jp/content/age"">age</a>&nbsp;<a href=""https://ejje.weblio.jp/content/midden"">midden</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E7%9F%B3%E5%99%A8%E6%99%82%E4%BB%A3"">石器時代</a>の<a href=""https://ejje.weblio.jp/content/%E8%B2%9D%E5%A1%9A"">貝塚</a>を<a href=""https://ejje.weblio.jp/content/%E7%99%BA%E6%8E%98%E3%81%99%E3%82%8B"">発掘する</a>.</span><br></div>"
curator	（図書館や美術館などの）館長、管理者
limb	"手足、（木の）大枝、突き出た部分<div><div><div><span style=""font-weight: bold;"">the&nbsp;<a href=""https://ejje.weblio.jp/content/limbs"">limbs</a>&nbsp;<a href=""https://ejje.weblio.jp/content/of+a"">of a</a>&nbsp;<a href=""https://ejje.weblio.jp/content/cross"">cross</a></span>&nbsp;<a href=""https://ejje.weblio.jp/content/%E5%8D%81%E5%AD%97%E6%9E%B6"">十字架</a>の<a href=""https://ejje.weblio.jp/content/%E6%89%8B"">手</a>.</div></div><div><div><span style=""font-weight: bold;"">a&nbsp;limb&nbsp;<a href=""https://ejje.weblio.jp/content/of+the"">of the</a>&nbsp;<a href=""https://ejje.weblio.jp/content/sea"">sea</a></span>&nbsp;<a href=""https://ejje.weblio.jp/content/%E5%85%A5%E3%82%8A%E6%B1%9F"">入り江</a>.</div></div></div>"
dim	"<div>（動）薄暗くする、（記憶などを）おぼろげにする</div><div>（形）</div><div><img src=""paste-8ee18a963c7ee006aef741e20cd807259e250edc.jpg""><br></div>"
migrate	"（鳥などが）渡る、移住する<div>migrationで移住</div><div>migrantで移住者</div><div><img src=""paste-7fcbf5f675d3e96de27aef5e444fbfd16cf67760.jpg""><br></div>"
pile	（名）積み重ね、たくさん (a pile of ~ )<div>（動）積み重ねる、（山のように）積む、pile onで（バスや列車に）どやどや乗る</div>
physician	内科医、医師
congest	be congested withで〜でいっぱいになる、混雑する<div>congestionで密集、（人口の）過密、（交通などの）渋滞</div>
dairy	"乳製品製造所、酪農の<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">dairy&nbsp;<a href=""https://ejje.weblio.jp/content/produce"">produce</a>&nbsp;[<a href=""https://ejje.weblio.jp/content/products"">products</a>]</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E9%85%AA%E8%BE%B2%E8%A3%BD%E5%93%81"">酪農製品</a>,&nbsp;<a href=""https://ejje.weblio.jp/content/%E4%B9%B3%E8%A3%BD%E5%93%81"">乳製品</a>.</span><br></div>"
bulk	"かさ、容量 (a ship of vast bulk)<div>bulkyで嵩張った</div><div>the bulk of ~で〜の大部分</div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">The&nbsp;bulk&nbsp;<a href=""https://ejje.weblio.jp/content/of+the"">of the</a>&nbsp;<a href=""https://ejje.weblio.jp/content/work"">work</a>&nbsp;has&nbsp;<a href=""https://ejje.weblio.jp/content/not"">not</a>&nbsp;been finished.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E4%BB%95%E4%BA%8B"">仕事</a>の<a href=""https://ejje.weblio.jp/content/%E5%A4%A7%E9%83%A8%E5%88%86%E3%81%AF"">大部分は</a><a href=""https://ejje.weblio.jp/content/%E7%B5%82%E3%82%8F%E3%81%A3%E3%81%A6"">終わって</a><a href=""https://ejje.weblio.jp/content/%E3%81%84%E3%81%AA%E3%81%84"">いない</a>.</span><br></div>"
roadside	道端
acting	代理の、活動中の<div>The acting prime ministerで首相代理</div>
Temperate Zone	温帯
renovate	刷新する、（古い建物や機械を）修理する、修復する
facilitate	"促進する、容易にする<div><table><tbody><tr><td><div><div><span style=""font-weight: bold;""><a href=""https://ejje.weblio.jp/content/His+father""><br>His father</a><a href=""https://ejje.weblio.jp/content/%27s"">'s</a>&nbsp;<a href=""https://ejje.weblio.jp/content/connections"">connections</a>&nbsp;<a href=""https://ejje.weblio.jp/content/facilitated"">facilitated</a>&nbsp;his employment.</span>&nbsp;<a href=""https://ejje.weblio.jp/content/%E5%BD%BC%E3%81%AF"">彼は</a><a href=""https://ejje.weblio.jp/content/%E7%88%B6%E8%A6%AA"">父親</a>の<a href=""https://ejje.weblio.jp/content/%E3%82%B3%E3%83%8D"">コネ</a><a href=""https://ejje.weblio.jp/content/%E3%81%AE%E3%81%8A%E3%81%8B%E3%81%92%E3%81%A7"">のおかげで</a><a href=""https://ejje.weblio.jp/content/%E5%B0%B1%E8%81%B7"">就職</a>が<a href=""https://ejje.weblio.jp/content/%E5%AE%B9%E6%98%93%E3%81%A0"">容易だ</a>った.</div></div><div><div><span style=""font-weight: bold;""><a href=""https://ejje.weblio.jp/content/It"">It</a>&nbsp;would&nbsp;facilitate&nbsp;<a href=""https://ejje.weblio.jp/content/matters"">matters</a>&nbsp;[<a href=""https://ejje.weblio.jp/content/things"">things</a>]&nbsp;<a href=""https://ejje.weblio.jp/content/greatly"">greatly</a>&nbsp;<a href=""https://ejje.weblio.jp/content/if"">if</a>&nbsp;you could&nbsp;<a href=""https://ejje.weblio.jp/content/tell"">tell</a>&nbsp;them&nbsp;<a href=""https://ejje.weblio.jp/content/in"">in</a>&nbsp;advance.</span>&nbsp;もし<a href=""https://ejje.weblio.jp/content/%E3%81%82%E3%81%AA%E3%81%9F%E3%81%8B%E3%82%89"">あなたから</a><a href=""https://ejje.weblio.jp/content/%E5%BD%BC%E3%82%89%E3%81%AB"">彼らに</a><a href=""https://ejje.weblio.jp/content/%E5%89%8D%E3%82%82%E3%81%A3%E3%81%A6"">前もって</a><a href=""https://ejje.weblio.jp/content/%E8%A8%80%E3%81%A3%E3%81%A6%E3%81%8A%E3%81%8F"">言っておく</a>ことが<a href=""https://ejje.weblio.jp/content/%E3%81%A7%E3%81%8D%E3%82%8C%E3%81%B0"">できれば</a><a href=""https://ejje.weblio.jp/content/%E4%BA%8B"">事</a>は<a href=""https://ejje.weblio.jp/content/%E3%81%A8%E3%81%A6%E3%82%82"">とても</a><a href=""https://ejje.weblio.jp/content/%E6%A5%BD%E3%81%AB"">楽に</a><a href=""https://ejje.weblio.jp/content/%E9%81%8B%E3%81%B6"">運ぶ</a><a href=""https://ejje.weblio.jp/content/%E3%81%A7%E3%81%97%E3%82%87%E3%81%86"">でしょう</a>.</div></div></td></tr></tbody></table><div>人を主語として用いない</div></div>"
deadly	致命的な (deadly desease)、活気のない (deadly lecture)
injustice	不正、不法<div>反対語はjusticeで正義、公平、正当</div>
fabricate	作り上げる、でっちあげる、組み立てて制作する<div>manufactureよりも加工して作り上げるイメージ</div>
concoct	"（材料を混ぜ合わせて工夫して）作る、（作り話や嘘を）作り上げる、でっちあげる<div>concoct an excuse/alibiで言い訳（アリバイ）をでっちあげる</div><div><img src=""paste-79a56c0c0319e2d19310c8965bc2d9f2f6ea26e4.jpg""><br></div>"
rub	"こする、摩擦する<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/He"">He</a>&nbsp;<a href=""https://ejje.weblio.jp/content/rubbed"">rubbed</a>&nbsp;his&nbsp;<a href=""https://ejje.weblio.jp/content/eyes"">eyes</a>&nbsp;and yawned.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%BD%BC%E3%81%AF"">彼は</a><a href=""https://ejje.weblio.jp/content/%E7%9B%AE"">目</a>をこすって<a href=""https://ejje.weblio.jp/content/%E3%81%82%E3%81%8F%E3%81%B3"">あくび</a>をした</span><br></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/He"">He</a>&nbsp;<a href=""https://ejje.weblio.jp/content/rubbed"">rubbed</a>&nbsp;<a href=""https://ejje.weblio.jp/content/himself"">himself</a>&nbsp;<a href=""https://ejje.weblio.jp/content/dry"">dry</a>&nbsp;with a towel.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%BD%BC%E3%81%AF"">彼は</a><a href=""https://ejje.weblio.jp/content/%E3%82%BF%E3%82%AA%E3%83%AB"">タオル</a>で<a href=""https://ejje.weblio.jp/content/%E4%BD%93"">体</a>をこすって<a href=""https://ejje.weblio.jp/content/%E4%B9%BE"">乾</a>かした.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div>"
overlook	"見逃す、見渡す、大目に見る、見落とす<div><img src=""paste-e72a057546e3d65f95af427052149c4282219e27.jpg""><br></div>"
affair	事件、事柄、（一時的で不純な）恋愛、affairsで業務<div>domestic/family affairsで家事</div>
burgeon	"急速に発展する、芽生える、新芽<div>proliferationで急増、拡散<br><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">the&nbsp;<a href=""https://ejje.weblio.jp/content/burgeoning+suburbs"">burgeoning suburbs</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E4%BC%B8%E5%B1%95%E3%81%99%E3%82%8B%E9%83%8A%E5%A4%96"">伸展する郊外</a>.</span><br><div>proliferateは細胞分裂などで増殖するイメージでかなり増大スピードが速い<br><div><img src=""paste-2b815cbb183db7858dd68156b9848ac909b2dcf6.jpg""><br></div></div></div></div>"
peasant	農民<div>peasantryで小作農</div>
treadmill	踏み車、（踏み車のように）単調な仕事、ランニングマシーン
prerequisite	"（名）必須条件、必要条件、（形）予め必要な<div>requisiteで必須な、必要な<br><div><span style=""color: rgb(83, 74, 66); font-weight: 700; background-color: rgb(247, 247, 247);"">A&nbsp;</span><a href=""https://ejje.weblio.jp/content/knowledge+of"">knowledge of</a><span style=""color: rgb(83, 74, 66); font-weight: 700; background-color: rgb(247, 247, 247);"">&nbsp;</span><a href=""https://ejje.weblio.jp/content/Chinese"">Chinese</a><span style=""color: rgb(83, 74, 66); font-weight: 700; background-color: rgb(247, 247, 247);"">&nbsp;</span><a href=""https://ejje.weblio.jp/content/is+a"">is a</a><span style=""color: rgb(83, 74, 66); font-weight: 700; background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); font-weight: 700; background-color: rgb(247, 247, 247);"">prerequisite</span><span style=""color: rgb(83, 74, 66); font-weight: 700; background-color: rgb(247, 247, 247);"">&nbsp;for this job.</span><br></div><div><div><div><span style=""font-weight: bold;"">a&nbsp;prerequisite&nbsp;<a href=""https://ejje.weblio.jp/content/subject"">subject</a></span>&nbsp;<a href=""https://ejje.weblio.jp/content/%E5%BF%85%E4%BF%AE"">必修</a><a href=""https://ejje.weblio.jp/content/%E7%A7%91"">科</a>[<a href=""https://ejje.weblio.jp/content/%E8%AA%B2"">課</a>]<a href=""https://ejje.weblio.jp/content/%E7%9B%AE"">目</a>.</div></div><div><div><span style=""font-weight: bold;""><a href=""https://ejje.weblio.jp/content/Good"">Good</a>&nbsp;<a href=""https://ejje.weblio.jp/content/credentials"">credentials</a>&nbsp;are&nbsp;prerequisite&nbsp;<a href=""https://ejje.weblio.jp/content/for+the"">for the</a>&nbsp;<a href=""https://ejje.weblio.jp/content/issuance+of"">issuance of</a>&nbsp;a&nbsp;<a href=""https://ejje.weblio.jp/content/credit"">credit</a>&nbsp;card.</span>&nbsp;<a href=""https://ejje.weblio.jp/content/%E3%82%AF%E3%83%AC%E3%82%B8%E3%83%83%E3%83%88%E3%82%AB%E3%83%BC%E3%83%89"">クレジットカード</a>の<a href=""https://ejje.weblio.jp/content/%E7%99%BA%E8%A1%8C"">発行</a><a href=""https://ejje.weblio.jp/content/%E3%81%AB%E3%81%AF%E3%81%A1"">にはち</a>ゃんとした<a href=""https://ejje.weblio.jp/content/%E8%BA%AB%E5%85%83%E8%A8%BC%E6%98%8E%E6%9B%B8"">身元証明書</a>がまず<a href=""https://ejje.weblio.jp/content/%E5%BF%85%E8%A6%81%E3%81%A7%E3%81%99"">必要です</a>.</div></div></div></div>"
threaten	"脅す、脅かす、<div>〜の恐れがある（<span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">Those&nbsp;<a href=""https://ejje.weblio.jp/content/clouds"">clouds</a>&nbsp;threaten&nbsp;<a href=""https://ejje.weblio.jp/content/rain"">rain</a>&nbsp;[<a href=""https://ejje.weblio.jp/content/thunder"">thunder</a>, a&nbsp;<a href=""https://ejje.weblio.jp/content/storm"">storm</a>].</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">あの<a href=""https://ejje.weblio.jp/content/%E9%9B%B2%E3%82%86%E3%81%8D"">雲ゆき</a>では<a href=""https://ejje.weblio.jp/content/%E9%9B%A8"">雨</a>[<a href=""https://ejje.weblio.jp/content/%E9%9B%B7"">雷</a>,&nbsp;<a href=""https://ejje.weblio.jp/content/%E3%81%82%E3%82%89%E3%81%97"">あらし</a>]に<a href=""https://ejje.weblio.jp/content/%E3%81%AA%E3%82%8A%E3%81%9D%E3%81%86"">なりそう</a>だ.</span>）、</div><div>threaten to doで〜しそうである</div><table><tbody><tr><td><div><div><span style=""font-weight: bold;""><a href=""https://ejje.weblio.jp/content/It"">It</a>&nbsp;<a href=""https://ejje.weblio.jp/content/threatens"">threatens</a>&nbsp;<a href=""https://ejje.weblio.jp/content/to+rain"">to rain</a>&nbsp;[<a href=""https://ejje.weblio.jp/content/snow"">snow</a>].</span>&nbsp;<a href=""https://ejje.weblio.jp/content/%E9%9B%A8"">雨</a>[<a href=""https://ejje.weblio.jp/content/%E9%9B%AA"">雪</a>]に<a href=""https://ejje.weblio.jp/content/%E3%81%AA%E3%82%8A%E3%81%9D%E3%81%86"">なりそう</a>だ.</div></div></td></tr></tbody></table><div><br></div>"
muscular	筋骨たくましい<div>muscleで筋肉</div>
overnight	&nbsp;一晩（中）、夜通し
collide	"衝突する、一致しない<div>collisionで衝突、激突、（利害や意見、目的の）対立、不一致<br><div><img src=""paste-17e35558b8e77c27288192b35731db445b14586e.jpg""></div><div><img src=""paste-66f8df6aeb0767951219d5f1499ad59bbbd62c34.jpg""><br></div></div>"
lunatic	狂気じみた、ばかげた<div>lunatic ways of speaking</div>
